id,text,InformationType_label,ProcessedText
5054,I got my last check from my old job yesterday and will get a check from my new job right on time in exactly two weeks.. that worked out well,1,i got my last check from my old job yesterday and will get a check from my new job right on time in exactly two weeks.. that worked out well
109,Hey guys I just got hired at starbucks,1,hey guys i just got hired at starbucks
87,I got hired to cook fathers day dinner tomorrow...cuz Im nice in the kitchen.,1,i got hired to cook fathers day dinner tomorrow...cuz im nice in the kitchen.
6557,Well I start my new job on Monday. Same company just different position. I am confident I will kick ass as a planner.,1,well i start my new job on monday. same company just different position. i am confident i will kick ass as a planner.
3979,MY JOB HIRED ME BACK!!! Im hype af!!!,1,my job hired me back!!! im hype af!!!
2681,#Anchorage #Job Fairbanks AK Special Education Teacher Position: Anchorage Fairbanks AK Special Education Te... http://t.co/vmVajCIUQz,0,#anchorage #job fairbanks ak special education teacher position: anchorage fairbanks ak special education te... http://t.co/vmvajciuqz
1686,today I signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫,1,today i signed a contract quit my old job quit my new job then unquit my old job  so that was just great 🎃🔫
6889,Yesterday I deliberately rendered myself unemployed w/o somewhere to land.Not smart but it was right.,0,yesterday i deliberately rendered myself unemployed w/o somewhere to land.not smart but it was right.
373,I am getting no hours at work. Searching for a new job.,0,i am getting no hours at work. searching for a new job.
5051,I started at my new job without quitting my 1st job. Who wants to dig me out of this one?,1,i started at my new job without quitting my 1st job. who wants to dig me out of this one?
2555,Looking to help advance specialty materials technology manufacturing capabilities and innovate in global markets? ATI is seeking a material science or chemical engineer for a Process Engineering position https://t.co/BfmMXJT9rd https://t.co/BGEZS2oEyY,0,looking to help advance specialty materials technology manufacturing capabilities and innovate in global markets? ati is seeking a material science or chemical engineer for a process engineering position https://t.co/bfmmxjt9rd https://t.co/bgezs2oeyy
288,I got hired at riverdale last night tho .. O.o too bad Im not gonna work there LoLoL,1,i got hired at riverdale last night tho .. o.o too bad im not gonna work there lolol
5687,I work tomorrow... 😅.. I so understand why people stay unemployed now hahaahha,1,i work tomorrow... 😅.. i so understand why people stay unemployed now hahaahha
7474,Im already hired at my new job just waiting for my background check then Im good to start😌,1,im already hired at my new job just waiting for my background check then im good to start😌
1672,Just got hired and Im finna quit real quick,1,just got hired and im finna quit real quick
140,Another job called me and I am hired I aint get to call them back yet,1,another job called me and i am hired i aint get to call them back yet
521,Yea Im happy I got a new job. This white lady at my old job wouldve been hype this morning if I went in. I wouldve gotten fired today.,1,yea im happy i got a new job. this white lady at my old job wouldve been hype this morning if i went in. i wouldve gotten fired today.
6040,Just started this new position last week but I may be putting in my 2 weeks notice,1,just started this new position last week but i may be putting in my 2 weeks notice
3962,Literally lost a job and 5 min later got hired somewhere else #peopleskills #closeddoor #openwindow #happy #lucky,1,literally lost a job and 5 min later got hired somewhere else #peopleskills #closeddoor #openwindow #happy #lucky
2913,Today I can smile. Today I have secured a new apartment and got hired for a full time position!😁👍,1,today i can smile. today i have secured a new apartment and got hired for a full time position!😁👍
4774,After being unemployed for 3 months I have finally found new employment. Thank you all s... http://t.co/5PcQNzKImV,1,after being unemployed for 3 months i have finally found new employment. thank you all s... http://t.co/5pcqnzkimv
3831,Facebook needs to stop asking me who my current employer is and rubbing my unemployment in my face,0,facebook needs to stop asking me who my current employer is and rubbing my unemployment in my face
4657,I quit today my spirit was crippled by the man so i had to move around,0,i quit today my spirit was crippled by the man so i had to move around
1954,I recently started working at a new job and now I have weekends off and a normal schedule and I don’t have to dread the weekend anymore,1,i recently started working at a new job and now i have weekends off and a normal schedule and i don’t have to dread the weekend anymore
4640,So to answer a few ??s about the fine dining job they lied about my hours/pay/job description so I quit Tuesday so I went to Hooters today,0,so to answer a few ??s about the fine dining job they lied about my hours/pay/job description so i quit tuesday so i went to hooters today
6750,Moms just finding out 2weeks later I got fired lol,0,moms just finding out 2weeks later i got fired lol
3310,I find it funny that I was fired yesterday and then rehired lol,1,i find it funny that i was fired yesterday and then rehired lol
7613,Looking for a #Driver/Warehouse #Position - Plumbing Wholesaler #jobs https://t.co/iPh1812fI4 https://t.co/67RN2cL1VE,0,looking for a #driver/warehouse #position - plumbing wholesaler #jobs https://t.co/iph1812fi4 https://t.co/67rn2cl1ve
2825,I finally got hire at walmart I been working at walgreens for like 3 and a half months. Tomorrow my last day at walgreens,1,i finally got hire at walmart i been working at walgreens for like 3 and a half months. tomorrow my last day at walgreens
4061,today I got 2 awesome things got my Texas driver license and 2... FINALLY GOT FUCKING HIRED!,1,today i got 2 awesome things got my texas driver license and 2... finally got fucking hired!
3356,I start at Aldo this week AND my best friend got hired there too?! We bout to fuck shit up ;),1,i start at aldo this week and my best friend got hired there too?! we bout to fuck shit up ;)
3062,Just started my new job today. Im working at a movie theater cleaning up after the movies get out. Found 2 small popcorns wedges under,1,just started my new job today. im working at a movie theater cleaning up after the movies get out. found 2 small popcorns wedges under
5714,Being unemployed for me personally means waking up and immediately feeling crazy anxious every day so thats super fun and all,0,being unemployed for me personally means waking up and immediately feeling crazy anxious every day so thats super fun and all
3840,Unemployment is at a 49-year low and I still dont have a job.,0,unemployment is at a 49-year low and i still dont have a job.
4918,Officially hired and working two jobs now. How am I ever gonna have time to watch my wrestling &amp; cartoons now?!,1,officially hired and working two jobs now. how am i ever gonna have time to watch my wrestling &amp; cartoons now?!
4999,I was recently fired from my job seeking unemployment and better work,0,i was recently fired from my job seeking unemployment and better work
388,I am seeking a female (preferably a WOC) website/graphic designer to work with for my business need quotes to incorporate into fundraising.,0,i am seeking a female (preferably a woc) website/graphic designer to work with for my business need quotes to incorporate into fundraising.
2954,I lost my position as the football teams water distribution engineer-waterboy,0,i lost my position as the football teams water distribution engineer-waterboy
4032,Searching for #work in Burlington IA? Send your #resume to Big Lots!. http://t.co/h9hPP3tYxJ #gethired,0,searching for #work in burlington ia? send your #resume to big lots!. http://t.co/h9hpp3tyxj #gethired
2104,Looking for a new way to hire or BE hired? check out http://t.co/UU5ax8MLHb to create an @myzumay . Fire your #resume ! #jobsearch #jobs,0,looking for a new way to hire or be hired? check out http://t.co/uu5ax8mlhb to create an @myzumay . fire your #resume ! #jobsearch #jobs
2925,Interview today...n JUST got an interview for the position I really wanted TOMORROW. things are starting to fall into place,0,interview today...n just got an interview for the position i really wanted tomorrow. things are starting to fall into place
6479,Lost my job yesterday fell asleep a bit early then slept in a bit late. I dont think Ive ever been this stress-free in my life???,0,lost my job yesterday fell asleep a bit early then slept in a bit late. i dont think ive ever been this stress-free in my life???
7276,@johnurschel Im searching at the Development Director level in MA. I was laid off in January.,0,@johnurschel im searching at the development director level in ma. i was laid off in january.
2044,Looking for a #NewJob? #CareerCast has all your #Job and #Career needs at your fingertips. https://t.co/nkIUcXMpsk #CareerAdvice #GetHired,0,looking for a #newjob? #careercast has all your #job and #career needs at your fingertips. https://t.co/nkiucxmpsk #careeradvice #gethired
3724,Looking to join Panera Bread (@PaneraCareers) Sunrise Senior Living (@Sunrise_Careers) or Meridian Senior Living (@Join_Meridian)? View 361 openings from these companies and more. https://t.co/ikurjIU70S,0,looking to join panera bread (@paneracareers) sunrise senior living (@sunrise_careers) or meridian senior living (@join_meridian)? view 361 openings from these companies and more. https://t.co/ikurjiu70s
5796,Now hiring a professional fly &amp;amp; mosquito killer. Any takers?,0,now hiring a professional fly &amp;amp; mosquito killer. any takers?
3060,Im bout to start back working out Yall. My new job has a gym,1,im bout to start back working out yall. my new job has a gym
1690,I quit my job today lol Going to start looking for a new job,0,i quit my job today lol going to start looking for a new job
4635,Got hired for a new job orientation/training on Tuesday. Now the question is... when do I quit my current job?... https://t.co/oxs9D9S6jj,1,got hired for a new job orientation/training on tuesday. now the question is... when do i quit my current job?... https://t.co/oxs9d9s6jj
7066,Quit my job thinking i had the other in the bag. Long story short.....i had to go on unemployment last week. Good news is i found another job so there you go,1,quit my job thinking i had the other in the bag. long story short.....i had to go on unemployment last week. good news is i found another job so there you go
94,Today I got proletariatainized... Got hired on permanently at a company.,1,today i got proletariatainized... got hired on permanently at a company.
106,on a brighter note I got hired today so Im stoked n I start tomorrow,1,on a brighter note i got hired today so im stoked n i start tomorrow
4024,Searching for #work in Akron NY? Send your #resume to Adesa Inc.. http://t.co/Ayu0sVtnde #gethired,0,searching for #work in akron ny? send your #resume to adesa inc.. http://t.co/ayu0svtnde #gethired
4046,I got hired before I got laid off today #boilergypsy,1,i got hired before i got laid off today #boilergypsy
4946,Anyone looking for a Job ? Orlando Premium Outlets 17 &amp; ⬆️ - Adidas/Reebok 18 &amp; ⬆️ - Nike/ Under ArmourThey are currently hiring HML 📲,0,anyone looking for a job ? orlando premium outlets 17 &amp; ⬆️ - adidas/reebok 18 &amp; ⬆️ - nike/ under armourthey are currently hiring hml 📲
5220,Today is #EqualPayDay .Thanks #ObamaI will be more exited if I wasnt #Unemployed,0,today is #equalpayday .thanks #obamai will be more exited if i wasnt #unemployed
786,Im hiring for two position in the Katy area. Full time and part time. Starting at $10 an hour hit me if youre interested.,0,im hiring for two position in the katy area. full time and part time. starting at $10 an hour hit me if youre interested.
6363,Lol I got fired from my minimum wage job today and got hired for an above wage job the same day. #merica,1,lol i got fired from my minimum wage job today and got hired for an above wage job the same day. #merica
1036,As of June 8th no longer unemployed... just got hired as a data analyst / programmer at Cigna in Bloomfield...,1,as of june 8th no longer unemployed... just got hired as a data analyst / programmer at cigna in bloomfield...
107,The Macys I got hired at is on a spree apply if you can,0,the macys i got hired at is on a spree apply if you can
4045,I got hired today and start tomorrow.,1,i got hired today and start tomorrow.
2807,Today gone be a good ass day! I just keep getting good news! 1st I get hired in. Then found out ion have to work tomorrow.,1,today gone be a good ass day! i just keep getting good news! 1st i get hired in. then found out ion have to work tomorrow.
6465,Its funny that when I lost my job I lost you yet I supported you for 3 years before you got on your feet,0,its funny that when i lost my job i lost you yet i supported you for 3 years before you got on your feet
4905,I am now hired at Guess as a fulltime permanent sales associate I was only supposed to be seasonal but hard work pays off. TYJ 🙏💕.,1,i am now hired at guess as a fulltime permanent sales associate i was only supposed to be seasonal but hard work pays off. tyj 🙏💕.
1156,well I was laid off today because the season is over so looks like its back to job hunting for me,0,well i was laid off today because the season is over so looks like its back to job hunting for me
4427,anyone know of any jobs hiring in Lansing????,0,anyone know of any jobs hiring in lansing????
3814,And.... Now Im unemployed.,0,and.... now im unemployed.
5826,Now On my way to my first corporate job which I got on my own #blessed . NEVER GIVE UP !,1,now on my way to my first corporate job which i got on my own #blessed . never give up !
4072,Except I did get hired today it was fun,1,except i did get hired today it was fun
387,Im Searching for an Executive Sous Chef in DC to work for an award winning Chef...must be cutting edge creative positive with amazing e…,0,im searching for an executive sous chef in dc to work for an award winning chef...must be cutting edge creative positive with amazing e…
7438,I am actively seeking Administrative Positions available to start ASAP!,0,i am actively seeking administrative positions available to start asap!
3834,I am now officially unemployed! Yatta!,0,i am now officially unemployed! yatta!
5024,Damn I got fired from my first job  I got to find another job soon cuz I want to buy iPad 4 and htc one.,0,damn i got fired from my first job  i got to find another job soon cuz i want to buy ipad 4 and htc one.
7180,Hilton Worldwide posted a job you might be interested in: Senior Sales Manager - Embassy Suites Orlando International Drive - Orlando Fl...,0,hilton worldwide posted a job you might be interested in: senior sales manager - embassy suites orlando international drive - orlando fl...
6486,I knew today was a bad day. I just quit my 2nd job,0,i knew today was a bad day. i just quit my 2nd job
4860,Anyone working in a bar/pub that is hiring?,0,anyone working in a bar/pub that is hiring?
2323,And I remember now why I shut down and didnt do job applications for a while. It makes me very aware of how long I have been unemployed,0,and i remember now why i shut down and didnt do job applications for a while. it makes me very aware of how long i have been unemployed
3994,Recently quit my job wanted to be more creative so I just got hired at a Makeup company while I can peruse my passions. #YOLO,1,recently quit my job wanted to be more creative so i just got hired at a makeup company while i can peruse my passions. #yolo
4956,Anyone know whos hiring???? Im dying for a job so my jeep can be done by Halloween!!!! :(,0,anyone know whos hiring???? im dying for a job so my jeep can be done by halloween!!!! :(
4961,I need a second job like right now! Anyone hiring????,0,i need a second job like right now! anyone hiring????
4161,I am a veteran who is unemployed finished school 6/14. Tooth broke in need of dental work. Where can I go?,0,i am a veteran who is unemployed finished school 6/14. tooth broke in need of dental work. where can i go?
5829,Im so blessed by my new job. Yall are gonna get sick of me tweeting about it all the time but sorry not sorry.,1,im so blessed by my new job. yall are gonna get sick of me tweeting about it all the time but sorry not sorry.
4054,I got hired at a job yesterday but Im quitting today because a better job came along does that look bad?,1,i got hired at a job yesterday but im quitting today because a better job came along does that look bad?
3974,That was crazy fast. I applied on Thursday interviewed Monday got hired today (Tuesday) woahhh,1,that was crazy fast. i applied on thursday interviewed monday got hired today (tuesday) woahhh
5650,I got laid off.  Why is not an emergency?  http://t.co/s8LUiWqMx2,0,i got laid off.  why is not an emergency?  http://t.co/s8luiwqmx2
4038,I got hired today at a new restaurant &amp; Im so fucking happy Im moving up Im getting shit done my grades are good and my moneys better,1,i got hired today at a new restaurant &amp; im so fucking happy im moving up im getting shit done my grades are good and my moneys better
6365,i got fired today... hooray me,0,i got fired today... hooray me
3373,so the place i got hired at 3 weeks ago is going out of business. alright.,1,so the place i got hired at 3 weeks ago is going out of business. alright.
5052,My 1st week at my new job went good &amp; on top of that I already hit overtime,1,my 1st week at my new job went good &amp; on top of that i already hit overtime
3343,Natasha got fired and I got hired,1,natasha got fired and i got hired
6468,so i started my car salesmen job today i feel so outta my element lol &gt;.&lt; lol,1,so i started my car salesmen job today i feel so outta my element lol &gt;.&lt; lol
6082,This week: relationship ended got great advice quit my job got a position as a teaching assistant met with dept. head about research.,1,this week: relationship ended got great advice quit my job got a position as a teaching assistant met with dept. head about research.
2909,Being unemployed is a lot like being retired except Im not old and all my friends are busy at work all day what a bunch of nerds right?!,0,being unemployed is a lot like being retired except im not old and all my friends are busy at work all day what a bunch of nerds right?!
3304,Nigga I been fired from 5 jobs had to quit from 3 AND my whole workplace got laid off today Im 20 homie fuck that you just gotta #Maintain,0,nigga i been fired from 5 jobs had to quit from 3 and my whole workplace got laid off today im 20 homie fuck that you just gotta #maintain
5741,I havent been unemployed for 4 years its going to feel weird starting a new job,1,i havent been unemployed for 4 years its going to feel weird starting a new job
3700,I like my new job. Its fun and my co workers are nice!,1,i like my new job. its fun and my co workers are nice!
4689,Today is the start of getting up at 430 everyday for workbut I could still be unemployed trying to be the very the best like no one ever was,1,today is the start of getting up at 430 everyday for workbut i could still be unemployed trying to be the very the best like no one ever was
3173,I was laid off from my job April 7. Seeking editing job. Appreciate all leads. View my LinkedIn profile: http://t.co/ogRrXD1eNZ,0,i was laid off from my job april 7. seeking editing job. appreciate all leads. view my linkedin profile: http://t.co/ogrrxd1enz
4104,I  put in my notice today at one job and got hired 30 minutes later to another 😁😁😁,1,i  put in my notice today at one job and got hired 30 minutes later to another 😁😁😁
2354,Anyone know of places newly hiring in Sierra Vista Tombstone Bisbee Fort Huachuca Benson or anywhere within 30 miles of here?,0,anyone know of places newly hiring in sierra vista tombstone bisbee fort huachuca benson or anywhere within 30 miles of here?
6403,Got fired today oh fucking well fuck taco bell lying ass another job gone come my way,0,got fired today oh fucking well fuck taco bell lying ass another job gone come my way
3982,I just got fired then immediately re-hired.,1,i just got fired then immediately re-hired.
6785,Lost my girlfriend and job in less than 24 hrs best day ever :),0,lost my girlfriend and job in less than 24 hrs best day ever :)
405,#Job #Nashville Manager Recovery Resolutions - Franklin TN: Franklin Position Description: Youll join a high ... http://t.co/xic9ZM35OF,0,#job #nashville manager recovery resolutions - franklin tn: franklin position description: youll join a high ... http://t.co/xic9zm35of
7246,I was just laid off for the week...Meaning FATE HAS DESTINED ME TO FINISH THIS NOVEL!#amwriting #amwritingscifi#CampNaNoWriMo #nanowrimo https://t.co/d8oTiGCLeU,0,i was just laid off for the week...meaning fate has destined me to finish this novel!#amwriting #amwritingscifi#campnanowrimo #nanowrimo https://t.co/d8otigcleu
1691,Quit my job yesterday got a new one today,1,quit my job yesterday got a new one today
7389,This my 3rd day at my new job and Im already ready to quit .,1,this my 3rd day at my new job and im already ready to quit .
3361,So it seems like I was fired and re-hired and didnt even know it or some shit.,1,so it seems like i was fired and re-hired and didnt even know it or some shit.
4062,Got hired today  get my braces off tomorrow .. Ok April good shit,1,got hired today  get my braces off tomorrow .. ok april good shit
4592,Nobody knows the real story about what happened... People saying I got fired... People saying I quit... Lol...,0,nobody knows the real story about what happened... people saying i got fired... people saying i quit... lol...
5048,Well first 2 weeks at my new job and its a totally different shift than my last job Im liking the new atmosphere,1,well first 2 weeks at my new job and its a totally different shift than my last job im liking the new atmosphere
6865,Hell yeah I got the job! :) It all started thanks to http://t.co/ZonHtLooEP #unemployed #resume,1,hell yeah i got the job! :) it all started thanks to http://t.co/zonhtlooep #unemployed #resume
6920,LOOKING FOR A WAY TO MAKE EXTRA MONEY WITHOUT QUITTING YOUR JOB?JOIN WAKEUPNOWhttp://t.co/Fot1qF35xV http://t.co/bF4blUfJ6M,0,looking for a way to make extra money without quitting your job?join wakeupnowhttp://t.co/fot1qf35xv http://t.co/bf4blufj6m
2566,Looking for a #Visually #Impaired (VI) Teacher Position-Contract-Long Beach CA #jobs http://t.co/f1I3uVyhmx http://t.co/3OdkFrqRLL,0,looking for a #visually #impaired (vi) teacher position-contract-long beach ca #jobs http://t.co/f1i3uvyhmx http://t.co/3odkfrqrll
3820,The last quarter in which I worked full time at a reasonable wage (Oct-Dec) is not counted towards my unemployment benefits!,0,the last quarter in which i worked full time at a reasonable wage (oct-dec) is not counted towards my unemployment benefits!
4098,I got hired at both of the jobs I had interviews at today. I am going to vomit,1,i got hired at both of the jobs i had interviews at today. i am going to vomit
1718,Things I am learning today: Unemployment claims are filed in the state you worked last year not in the state where you were laid off,0,things i am learning today: unemployment claims are filed in the state you worked last year not in the state where you were laid off
1983,Been working hard at my new job so I decided to reward myself! gibson #sg #gibson #custom #guitar http://t.co/o3HDIJvfLL,1,been working hard at my new job so i decided to reward myself! gibson #sg #gibson #custom #guitar http://t.co/o3hdijvfll
1255,Here is a great opportunity for an RN who wants to work in the Mother/Baby department: http://t.co/gcOCeLBiFn #jobs http://t.co/i1zk8DRky6,0,here is a great opportunity for an rn who wants to work in the mother/baby department: http://t.co/gcocelbifn #jobs http://t.co/i1zk8drky6
6870,Well I am now officially unemployed and sold my car. Thankfully it is all on purpose ahead of my move to Portland.,0,well i am now officially unemployed and sold my car. thankfully it is all on purpose ahead of my move to portland.
3656,I love my new job man.,1,i love my new job man.
4590,Money was made. Got put back on the schedule at work after quitting. I mean today overall was really good.,1,money was made. got put back on the schedule at work after quitting. i mean today overall was really good.
2346,weird mind place bc my job made me depressed which led me to drink dangerously but I can tell Im a different depressed being unemployed,0,weird mind place bc my job made me depressed which led me to drink dangerously but i can tell im a different depressed being unemployed
5278,Unemployment its been real - but Ive got a new friend now. Its a senior-level position at RED Digital Cinema. They help make movies.,1,unemployment its been real - but ive got a new friend now. its a senior-level position at red digital cinema. they help make movies.
5297,@VAMOSteph Its actually okay. I was planning on quitting next month. They eliminated my position instead. So I get unemployment at least!,0,@vamosteph its actually okay. i was planning on quitting next month. they eliminated my position instead. so i get unemployment at least!
3168,@RedLaurent I dont know yet. Im trying to find a job first after being laid off from my last one. Well see,0,@redlaurent i dont know yet. im trying to find a job first after being laid off from my last one. well see
5774,Know someone for this job? Java Equity Developer (3 roles) in New York NY https://t.co/BIR6YPYvS2 #java #dev #techjob,0,know someone for this job? java equity developer (3 roles) in new york ny https://t.co/bir6ypyvs2 #java #dev #techjob
2575,Looking for a job? Employer with a position to fill? Energy JobsHQ is the new O&amp;G job board that has you covered! http://t.co/sPsVDISJQ6,0,looking for a job? employer with a position to fill? energy jobshq is the new o&amp;g job board that has you covered! http://t.co/spsvdisjq6
966,I went in American Eagle and filled out for a seasonal position less than an hour ago &amp; they just called &amp; ask me to work tomorrow,1,i went in american eagle and filled out for a seasonal position less than an hour ago &amp; they just called &amp; ask me to work tomorrow
103,Got hired as a music sales rep today so entirely expect my life to get much more Mad Men-y,1,got hired as a music sales rep today so entirely expect my life to get much more mad men-y
7159,I am currently unemployed. But I do wish both teams and teammates the best of luck and injury free season https://t.co/l0NwPJOM3L,0,i am currently unemployed. but i do wish both teams and teammates the best of luck and injury free season https://t.co/l0nwpjom3l
1375,Interested in a #job near #Mesquite TX? This could be a great fit: https://t.co/9u74BCVmIc #Veterans #Hiring #CareerArc,0,interested in a #job near #mesquite tx? this could be a great fit: https://t.co/9u74bcvmic #veterans #hiring #careerarc
3663,Wow so far I already fuck with all the managers at my new job.,1,wow so far i already fuck with all the managers at my new job.
7622,God is awesome.  I never thought after seven months of unemployment I would have students asking for me after four weeks of a new position.,1,god is awesome.  i never thought after seven months of unemployment i would have students asking for me after four weeks of a new position.
1337,Interested in a #job in #Mesquite TX? This could be a great fit: https://t.co/5ovnROc70Z #Retail #Hiring #CareerArc,0,interested in a #job in #mesquite tx? this could be a great fit: https://t.co/5ovnroc70z #retail #hiring #careerarc
111,Yesterday I applied everywhere within view saw the worlds end slept for 3 hours got ready for an interview hired on the spot.,1,yesterday i applied everywhere within view saw the worlds end slept for 3 hours got ready for an interview hired on the spot.
7163,I am unemployed and desperately need a job Please pray so that i may be de~ https://t.co/xnnLQy9GmU #pray #prayer https://t.co/Gxai3wOsFT,0,i am unemployed and desperately need a job please pray so that i may be de~ https://t.co/xnnlqy9gmu #pray #prayer https://t.co/gxai3wosft
1174,In other news I got laid off today. #ayyyyyye,0,in other news i got laid off today. #ayyyyyye
4097,Fuck yes got hired at Eskimo Joes. I will not miss Oreganos one bit.,1,fuck yes got hired at eskimo joes. i will not miss oreganos one bit.
2991,So I recently started work for a pet boarding/doggie daycare and someone was REALLY fucking happy to see me this mo… https://t.co/GDPFizGxUw,1,so i recently started work for a pet boarding/doggie daycare and someone was really fucking happy to see me this mo… https://t.co/gdpfizgxuw
6430,Dylan lost his job &amp; I got a job today ...funny,1,dylan lost his job &amp; i got a job today ...funny
6550,Today is my 2nd day working a new job at a work-from-home position!,1,today is my 2nd day working a new job at a work-from-home position!
2936,I applied and got offered a position today in which Ill be able to use my college degree,1,i applied and got offered a position today in which ill be able to use my college degree
5724,Hell yeah I got the job! :) It all started thanks to http://t.co/4AFhqX1nIh #unemployed #resume,1,hell yeah i got the job! :) it all started thanks to http://t.co/4afhqx1nih #unemployed #resume
3194,my swag is currently middle age dad who while searching for a new job after being laid off has finally landed that dream job hes wanted,1,my swag is currently middle age dad who while searching for a new job after being laid off has finally landed that dream job hes wanted
64,Crazy how I got laid off just last week &amp; got a new job already,1,crazy how i got laid off just last week &amp; got a new job already
6625,Dell posted a job you might be interested in: Network Design Consultant - Dallas/Fort Worth Area US.,0,dell posted a job you might be interested in: network design consultant - dallas/fort worth area us.
3598,Temp job was just offered. I wanted to take it but too far. Vehicle in shop.lost the battle but will win this war on unemployment,0,temp job was just offered. i wanted to take it but too far. vehicle in shop.lost the battle but will win this war on unemployment
3223,Wow I just realized I got laid off and hired in one month. Laid off April 7th hired May 7th. Really got a job in one month.,1,wow i just realized i got laid off and hired in one month. laid off april 7th hired may 7th. really got a job in one month.
7022,So I got a part time job counseling kids and families. Was fired today. Riding Harleys and smoking cigars was cited as reason. Bad example.,0,so i got a part time job counseling kids and families. was fired today. riding harleys and smoking cigars was cited as reason. bad example.
6056,Been working at my new job for a month and today I got offered a shift manager position. Couldnt be more thankful for the opportunity. 👍,1,been working at my new job for a month and today i got offered a shift manager position. couldnt be more thankful for the opportunity. 👍
342,I am currently looking for Networking Partners. I am looking to trade referrals. Looking for Web Developers CPAs Advertising Payroll....,0,i am currently looking for networking partners. i am looking to trade referrals. looking for web developers cpas advertising payroll....
278,Today I applied for 3 jobs and like I dont want any of them,0,today i applied for 3 jobs and like i dont want any of them
2748,#Job #Milwaukee Sales Opportunity (Waukesha): Position Information Position: Automotive Program Sales Consult... http://t.co/fh6DujIP3Z,0,#job #milwaukee sales opportunity (waukesha): position information position: automotive program sales consult... http://t.co/fh6dujip3z
4077,Got hired to change brakes and  clean a car oooooh yes,1,got hired to change brakes and  clean a car oooooh yes
2751,I am seeking indie/underground musicians in the greater Seattle-Tacoma to network with as well as the region.  http://t.co/IOpMgQLXoP,0,i am seeking indie/underground musicians in the greater seattle-tacoma to network with as well as the region.  http://t.co/iopmgqlxop
4822,Im watching the Doctor Who 50th Anniversary Special because Im a big Doctor Who fan and Im also very unemployed.,0,im watching the doctor who 50th anniversary special because im a big doctor who fan and im also very unemployed.
1958,In my past 10 days at my new job my boss has been out for 4 and in late out early for 6 because he can #rolemodels,1,in my past 10 days at my new job my boss has been out for 4 and in late out early for 6 because he can #rolemodels
746,Looking to earn some extra money through the holidays and beyond?  The City of Miami has a position you might be... https://t.co/XhFjPitWZz,0,looking to earn some extra money through the holidays and beyond?  the city of miami has a position you might be... https://t.co/xhfjpitwzz
7161,Currently unemployed. What now.,0,currently unemployed. what now.
2904,now I work at value village. where will I work next week? any bets???,1,now i work at value village. where will i work next week? any bets???
6400,Well I got fired from my job today for stupid reasons...,0,well i got fired from my job today for stupid reasons...
1997,I was stressing over leaving my old job but my new job treat me like I own the place. You really gotta be willing to progress,1,i was stressing over leaving my old job but my new job treat me like i own the place. you really gotta be willing to progress
3902,#Accounting #Job in #Morristown  NJ: Accounting Manager Real Estat... at Robert Half Finance &amp; Accounting http://t.co/Kjg1HRYse0,0,#accounting #job in #morristown  nj: accounting manager real estat... at robert half finance &amp; accounting http://t.co/kjg1hryse0
